Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.014195,9.068,9.541,0.013,8.987,8.987
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.023465,9.270,11.049,0.014,10.766,10.766
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.034459,10.994,9.550,0.013,9.322,9.322
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.043858,9.399,9.046,0.014,8.969,8.969
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.052954,9.096,7.829,0.015,7.702,7.702
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.061671,8.717,9.619,0.014,8.604,8.604
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.070442,8.771,8.708,0.014,8.540,8.540
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.079273,8.831,8.636,0.013,8.345,8.345
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.087678,8.405,8.861,0.015,8.801,8.801
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.096686,9.008,9.498,0.015,9.291,9.291
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.106036,9.350,13.377,0.013,13.318,13.318
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.119483,13.447,7.986,0.015,7.857,7.857
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.127410,7.927,9.187,0.015,9.118,9.118
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.136650,9.240,8.832,0.014,8.710,8.710
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.145487,8.837,8.497,0.014,8.371,8.371
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.153968,8.481,8.874,0.013,8.763,8.763
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.162965,8.997,8.830,0.013,8.597,8.597
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.171631,8.666,9.046,0.014,8.977,8.977
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.180829,9.198,10.079,0.013,9.858,9.858
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.190766,9.938,11.936,0.014,11.856,11.856
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.202727,11.961,8.981,0.015,8.876,8.876
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.211724,8.997,9.230,0.013,9.109,9.109
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.220928,9.203,9.298,0.013,9.204,9.204
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.230251,9.323,9.314,0.014,9.195,9.195
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.239501,9.250,8.953,0.014,8.898,8.898
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.248575,9.074,9.060,0.014,8.883,8.883
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.257557,8.981,8.912,0.014,8.814,8.814
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.266660,9.104,9.809,0.014,9.519,9.519
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.276506,9.846,9.058,0.014,8.732,8.732
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.285297,8.791,8.946,0.014,8.886,8.886
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.294266,8.969,8.868,0.013,8.785,8.785
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.303125,8.859,8.716,0.014,8.641,8.641
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.311895,8.770,8.990,0.013,8.861,8.861
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.321224,9.329,9.615,0.013,9.147,9.147
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.330544,9.320,9.922,0.015,9.749,9.749
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.340368,9.825,11.137,0.015,11.062,11.062
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.351558,11.190,8.958,0.015,8.831,8.831
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.360444,8.886,8.758,0.014,8.703,8.703
