Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.218262,6.590,6.925,0.148,4.253,6.347
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.225181,6.919,6.959,0.108,0.358,6.387
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.225350,13.393,16.659,0.045,0.252,13.580
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.225293,13.429,16.666,0.054,0.264,15.419
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.232058,6.877,13.891,0.148,7.123,13.401
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.246610,14.552,6.939,0.204,0.395,5.788
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.246912,21.562,16.678,0.070,0.161,8.696
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.246820,21.526,16.665,0.088,0.205,10.557
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.252907,6.297,6.938,0.136,2.838,6.428
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.259990,7.083,6.963,0.126,0.191,6.309
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.260183,13.271,16.663,0.052,0.059,12.088
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.260120,13.300,16.670,0.060,0.080,13.928
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.280671,20.681,20.821,0.182,0.176,6.449
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.280921,20.738,16.671,0.050,0.051,8.021
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.280858,20.738,16.668,0.060,0.059,9.858
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.294563,13.892,13.890,0.157,0.172,6.447
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.294794,13.873,16.660,0.061,0.064,10.809
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.294724,13.866,16.661,0.067,0.060,12.653
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.308559,13.996,13.901,0.169,0.176,6.352
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.308812,14.017,16.665,0.071,0.065,13.456
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.308732,14.009,16.682,0.074,0.068,15.327
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.322357,13.798,13.878,0.150,1.843,6.431
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.322576,13.764,16.669,0.048,1.826,16.361
